Temperature,Magnetization,Pass
10.000000,1.510417,coarse
20.000000,1.510416,coarse
30.000000,1.510378,coarse
40.000000,1.509995,coarse
50.000000,1.508724,coarse
60.000000,1.505947,coarse
70.000000,1.501689,coarse
80.000000,1.495742,coarse
90.000000,1.488749,coarse
100.000000,1.480838,coarse
110.000000,1.472185,coarse
120.000000,1.463210,coarse
130.000000,1.454554,coarse
140.000000,1.445772,coarse
150.000000,1.437571,coarse
160.000000,1.429217,coarse
170.000000,1.421256,coarse
180.000000,1.414502,coarse
190.000000,1.407598,coarse
200.000000,1.400893,coarse
210.000000,1.394940,coarse
220.000000,1.389010,coarse
230.000000,1.383274,coarse
240.000000,1.378690,coarse
250.000000,1.373636,coarse
260.000000,1.368484,coarse
270.000000,1.363483,coarse
280.000000,1.358683,coarse
290.000000,1.354515,coarse
300.000000,1.349530,coarse
310.000000,1.345252,coarse
320.000000,1.340533,coarse
330.000000,1.335712,coarse
340.000000,1.330083,coarse
350.000000,1.325883,coarse
360.000000,1.320662,coarse
370.000000,1.315386,coarse
380.000000,1.309458,coarse
390.000000,1.303016,coarse
400.000000,1.298223,coarse
410.000000,1.290885,coarse
420.000000,1.283653,coarse
430.000000,1.277750,coarse
440.000000,1.269767,coarse
450.000000,1.261994,coarse
460.000000,1.253736,coarse
470.000000,1.243974,coarse
480.000000,1.233464,coarse
490.000000,1.224657,coarse
500.000000,1.214266,coarse
510.000000,1.202175,coarse
520.000000,1.193089,coarse
530.000000,1.177580,coarse
540.000000,1.164065,coarse
550.000000,1.153032,coarse
560.000000,1.136104,coarse
570.000000,1.113820,coarse
580.000000,1.100583,coarse
590.000000,1.083666,coarse
600.000000,1.061613,coarse
610.000000,1.037180,coarse
620.000000,1.011542,coarse
630.000000,0.988637,coarse
640.000000,0.962829,coarse
650.000000,0.926800,coarse
660.000000,0.881483,coarse
670.000000,0.843428,coarse
680.000000,0.798715,coarse
690.000000,0.740956,coarse
700.000000,0.677259,coarse
710.000000,0.578185,coarse
720.000000,0.474170,coarse
730.000000,-0.295896,coarse
740.000000,0.063669,coarse
750.000000,0.053984,coarse
760.000000,-0.044639,coarse
770.000000,-0.026767,coarse
780.000000,-0.049823,coarse
790.000000,-0.045284,coarse
800.000000,0.002410,coarse
710.000000,0.550421,fine
711.000000,0.596680,fine
712.000000,0.566443,fine
713.000000,0.590831,fine
714.000000,0.521990,fine
715.000000,0.458957,fine
716.000000,0.565761,fine
717.000000,0.506370,fine
718.000000,0.535524,fine
719.000000,0.490726,fine
720.000000,0.424589,fine
721.000000,0.390771,fine
722.000000,0.482188,fine
723.000000,0.390663,fine
724.000000,0.426885,fine
725.000000,-0.133062,fine
726.000000,0.419665,fine
727.000000,-0.347942,fine
728.000000,-0.169455,fine
729.000000,0.192214,fine
730.000000,-0.261564,fine
725.000000,-0.088422,ultra
725.200012,-0.171885,ultra
725.400024,-0.425858,ultra
725.599976,-0.392021,ultra
725.799988,-0.265654,ultra
726.000000,-0.392063,ultra
726.200012,0.352901,ultra
726.400024,-0.230321,ultra
726.599976,0.120256,ultra
726.799988,-0.232115,ultra
727.000000,0.060592,ultra
727.200012,-0.228638,ultra
727.400024,-0.187601,ultra
727.599976,-0.269896,ultra
727.799988,-0.320200,ultra
728.000000,0.274144,ultra
728.200012,-0.353777,ultra
728.400024,0.127569,ultra
728.599976,0.399343,ultra
728.799988,-0.115671,ultra
729.000000,0.395098,ultra
